id,common_name,scientific_name,image,light,water,humidity,temp,soil,fertilizer,toxicity,tips
philodendron_red_anderson,Philodendron ‘Red Anderson’,Philodendron ‘Red Anderson’,images/plants/philodendron_red_anderson.jpg,"Bright, indirect light; avoid harsh direct sun.","Water when top 3–5 cm are dry; slightly less in winter.","Prefers 50–70% humidity.","Ideal 18–27°C (64–81°F).","Aroid mix with bark/perlite.","Feed every 4–6 weeks during growth.","Toxic if ingested.","Hybrid with reddish stems and patterned foliage; provide a pole as it gains height."
philodendron_shangri_la,Philodendron ‘Shangri-La’,Philodendron bipinnatifidum ‘Shangri-La’,images/plants/philodendron_shangri_la.jpg,"Bright to medium indirect light; tolerates medium light indoors.","Water when top 3–5 cm (1–2 in) are dry; evenly moist but not soggy.","Comfortable at 40–60% humidity; benefits from 50–70%.","Ideal 18–27°C (64–81°F).","Rich indoor potting mix with good drainage.","Feed every 4–6 weeks in spring/summer.","Toxic if ingested.","Compact, bushy form of cut-leaf Philodendron often sold in big-box stores; prune lightly to maintain shape."
philodendron_platinum,Philodendron ‘Platinum’,Philodendron sp. ‘Platinum’,images/plants/philodendron_platinum.jpg,"Bright indirect light; some gentle morning sun is tolerated.","Water when top 2–3 cm are dry; do not allow to sit in water.","Prefers 55–75% humidity.","Ideal 18–27°C (64–81°F).","Airy aroid mix with bark/perlite.","Feed every 4–6 weeks at low strength.","Toxic if ingested.","Silver-gray foliage cultivar; maintain steady bright indirect light to prevent dulling or greening of leaves."
philodendron_malay_gold,Philodendron ‘Malay Gold’,Philodendron sp. ‘Malay Gold’,images/plants/philodendron_malay_gold.jpg,"Bright indirect light; necessary for saturated golden foliage.","Water when top 2–3 cm are dry; slightly less in lower light.","Prefers 50–70% humidity; tolerates typical indoor humidity.","Ideal 18–27°C (64–81°F).","Well-draining aroid potting mix.","Feed every 4–6 weeks in growing season.","Toxic if ingested.","Often considered similar to Golden Goddess; keep in bright light for best color and compact growth."
philodendron_orange_marmalade,Philodendron ‘Orange Marmalade’,Philodendron hybrid ‘Orange Marmalade’,images/plants/philodendron_orange_marmalade.jpg,"Bright indirect light enhances orange variegation; avoid harsh direct sun.","Water when top 2–3 cm are dry; avoid soggy soil.","Prefers 55–75% humidity.","Ideal 18–27°C (64–81°F).","Chunky aroid mix with bark and perlite.","Feed lightly every 4–6 weeks.","Toxic if ingested.","Highly variegated hybrid with mottled orange tones; prune green reversions."
philodendron_majestic_variegated,Philodendron ‘Majestic Variegated’,Philodendron sodiroi × verrucosum,images/plants/philodendron_majestic_variegated.jpg,"Bright indirect light; essential for stabilizing variegation.","Water when top 1–2 cm are dry; avoid extremes.","Prefers 65–80% humidity.","Ideal 18–26°C (64–79°F).","Airy aroid mix with moss.","Feed every 4–6 weeks.","Toxic if ingested.","Velvety variegated hybrid; excels with high humidity and airflow."
philodendron_charles,Philodendron ‘Prince Charles’,Philodendron sp.,images/plants/philodendron_charles.jpg,"Medium to bright indirect light.","Water when top 3 cm are dry.","Prefers 50–70% humidity.","Ideal 18–27°C.","Aroid mix with perlite.","Feed monthly.","Toxic if ingested.","Climbing hybrid with dark foliage; easy-care and vigorous."
philodendron_jubilee,Philodendron ‘Jubilee’,Philodendron hybrid,images/plants/philodendron_jubilee.jpg,"Bright indirect light.","Water when top 2–3 cm dry.","Prefers 50–75% humidity.","Ideal 18–27°C.","Well-draining aroid mix.","Feed every 4–6 weeks.","Toxic if ingested.","Compact, self-heading type with glossy leaves; great for desks and shelves."
philodendron_narrow_escape,Philodendron ‘Narrow Escape’,Philodendron hybrid ‘Narrow Escape’,images/plants/philodendron_narrow_escape.jpg,"Bright or medium indirect light.","Water when top 3 cm dry; prefers consistent moisture.","Prefers 50–70% humidity.","Ideal 18–28°C.","Aroid mix with bark/perlite.","Feed monthly.","Toxic if ingested.","Narrow toothed leaves give a jungle look; grows upright and compact."
philodendron_dark_moon,Philodendron ‘Dark Moon’,Philodendron sp.,images/plants/philodendron_dark_moon.jpg,"Bright indirect light; too little light lightens dark tone.","Water when top 2–3 cm dry.","Prefers 55–70% humidity.","Ideal 18–27°C.","Chunky aroid mix.","Feed every 4–6 weeks.","Toxic if ingested.","Dark, nearly black emerging leaves; thrives with stable warmth."
philodendron_black_mamba,Philodendron ‘Black Mamba’,Philodendron hybrid,images/plants/philodendron_black_mamba.jpg,"Bright indirect light.","Water when top 2–3 cm dry.","Prefers 60–80% humidity.","Ideal 18–26°C.","Well-aerated aroid mix.","Feed monthly in growing season.","Toxic if ingested.","Dark hybrid with textured leaves; grows larger with a moss pole."
philodendron_black_beauty,Philodendron ‘Black Beauty’,Philodendron sp.,images/plants/philodendron_black_beauty.jpg,"Bright indirect light.","Water when top 3 cm dry; avoid soggy soil.","Prefers 55–75% humidity.","Ideal 18–27°C.","Aroid mix with bark and perlite.","Feed every 4–6 weeks.","Toxic if ingested.","Striking deep green-black leaves; avoid direct sun that can scorch dark foliage."
philodendron_green_magic,Philodendron ‘Green Magic’,Philodendron ‘Green Magic’,images/plants/philodendron_green_magic.jpg,"Medium to bright indirect light.","Water when top 2–3 cm are dry.","Prefers 50–70% humidity.","Ideal 18–27°C.","Rich, well-draining potting soil.","Feed every 4–6 weeks.","Toxic if ingested.","Easy-care self-heading cultivar with upright habit."
philodendron_red_pearl,Philodendron ‘Red Pearl’,Philodendron hybrid,images/plants/philodendron_red_pearl.jpg,"Bright indirect light; enhances red tones.","Water when top 3–5 cm dry.","Prefers 50–70% humidity.","Ideal 18–27°C.","Chunky aroid mix.","Feed every 4–6 weeks.","Toxic if ingested.","Self-heading hybrid with red stems and new growth; great modern interior plant."
philodendron_cordatum_variegata,Philodendron Cordatum Variegated,Philodendron cordatum variegata,images/plants/philodendron_cordatum_variegata.jpg,"Bright indirect light required for stable variegation.","Water when top 2–3 cm are dry.","Prefers 55–75% humidity.","Ideal 18–27°C.","Aroid mix.","Feed lightly monthly.","Toxic if ingested.","Delicate variegation—avoid low light which causes reversion."
philodendron_splendid_variegated,Philodendron Splendid Variegated,Philodendron verrucosum × melanochrysum,images/plants/philodendron_splendid_variegated.jpg,"Bright indirect; protect velvet leaves from harsh sun.","Water when top 1–2 cm dry.","Prefers 65–80% humidity.","Ideal 18–26°C.","Velvety-type aroid mix.","Feed lightly every 4 weeks.","Toxic if ingested.","Collector's hybrid—requires humidity, airflow, and a good pole."
philodendron_red_moon,Philodendron ‘Red Moon’,Philodendron hybrid ‘Red Moon’,images/plants/philodendron_red_moon.jpg,"Bright indirect light.","Water when top 2–3 cm are dry.","Prefers 60–75% humidity.","Ideal 18–27°C.","Chunky aroid mix.","Feed lightly every 4–6 weeks.","Toxic if ingested.","Known for bright red emerging leaves and variegation; protect from strong sun."
philodendron_royal_queen,Philodendron ‘Royal Queen’,Philodendron hybrid,images/plants/philodendron_royal_queen.jpg,"Bright indirect; richer color with more light.","Water when top 3–5 cm dry.","Prefers 50–70% humidity.","Ideal 18–27°C.","Rich potting mix with bark.","Feed every 4 weeks.","Toxic if ingested.","Large self-heading hybrid with deep burgundy foliage."
philodendron_tahiti,Philodendron ‘Tahiti’,Philodendron hybrid ‘Tahiti’,images/plants/philodendron_tahiti.jpg,"Bright to medium indirect light.","Water when top 3 cm are dry.","Prefers 50–70% humidity.","Ideal 18–27°C.","Aroid mix with perlite.","Feed every 4–6 weeks.","Toxic if ingested.","Deeply divided, ruffled leaves; similar to Xanadu but with more texture."
philodendron_majulah,Philodendron ‘Majulah’,Philodendron hybrid ‘Majulah’,images/plants/philodendron_majulah.jpg,"Bright indirect light.","Water when top 2–3 cm dry.","Prefers 55–75% humidity.","Ideal 18–27°C.","Aroid mix.","Feed monthly.","Toxic if ingested.","Rare hybrid with elongated leaves and upright growth."
philodendron_esmeraldense,Philodendron Esmeraldense,Philodendron esmeraldense,images/plants/philodendron_esmeraldense.jpg,"Bright, filtered indirect light; no harsh sun.","Water when top 2–3 cm are dry.","Prefers 60–80% humidity.","Ideal 18–26°C.","Airy aroid mix with bark and moss.","Feed every 4–6 weeks.","Toxic if ingested.","Long, wavy leaves that elongate dramatically with a pole and humidity."
philodendron_dolores,Philodendron ‘Dolores’,Philodendron hybrid,images/plants/philodendron_dolores.jpg,"Medium to bright indirect light.","Water when top 3 cm dry.","Prefers 55–70% humidity.","Ideal 18–27°C.","Chunky aroid mix.","Feed each month during growth.","Toxic if ingested.","Large upright hybrid with glossy deep green foliage."
philodendron_carl_froehlich,Philodendron ‘Carl Froehlich’,Philodendron hybrid,images/plants/philodendron_carl_froehlich.jpg,"Bright indirect light.","Water when top 2–3 cm dry; do not overwater.","Prefers 60–75% humidity.","Ideal 18–26°C.","Aroid mix with moss/perlite.","Feed every 4–6 weeks.","Toxic if ingested.","Collector variety with rippling leaf texture; performs best with humidity >60%."
philodendron_zebra,Philodendron ‘Zebra’,Philodendron sp. ‘Zebra’,images/plants/philodendron_zebra.jpg,"Bright indirect light.","Water when top 2–3 cm are dry.","Prefers 60–80% humidity.","Ideal 18–26°C.","Very airy aroid mix.","Feed every 4 weeks.","Toxic if ingested.","Striped petioles and large leaves; responds well to a moss pole."
philodendron_mcdowell,Philodendron ‘McDowell’,Philodendron pastazanum × gloriosum,images/plants/philodendron_mcdowell.jpg,"Bright indirect light.","Water when top 1–2 cm dry; keep slightly moist.","Prefers 60–80% humidity.","Ideal 18–26°C.","Chunky mix with moss.","Feed lightly every 4–6 weeks.","Toxic if ingested.","Massive heart-shaped leaves on a crawling stem; needs a wide pot."
philodendron_maria,Philodendron ‘Maria’,Philodendron hederaceum ‘Maria’,images/plants/philodendron_maria.jpg,"Medium to bright indirect light.","Water when top 2–3 cm dry.","Prefers 50–70% humidity; tolerates typical indoor conditions.","Ideal 18–27°C.","Aroid mix.","Feed every 4 weeks.","Toxic if ingested.","Metallic bronze-green leaves; easy, vigorous trailing plant."
philodendron_heartleaf_silver,Philodendron Silver Heartleaf,Philodendron hederaceum ‘Silver’,images/plants/philodendron_heartleaf_silver.jpg,"Bright to medium indirect light.","Water when top 2–3 cm dry.","Prefers 55–75% humidity.","Ideal 18–27°C.","Well-draining mix.","Feed every 4 weeks.","Toxic if ingested.","Green leaves with a silver sheen; encourages larger leaves when allowed to climb."
philodendron_narrow_tiger_tooth,Philodendron ‘Tiger Tooth’,Philodendron hybrid ‘Tiger Tooth’,images/plants/philodendron_narrow_tiger_tooth.jpg,"Bright indirect light.","Water when top 3 cm dry.","Prefers 50–70% humidity.","Ideal 18–27°C.","Chunky aroid mix.","Feed monthly.","Toxic if ingested.","Deeply serrated leaves that elongate with climbing support."
philodendron_super_atom,Philodendron ‘Super Atom’,Philodendron bipinnatifidum ‘Super Atom’,images/plants/philodendron_super_atom.jpg,"Medium to bright indirect light.","Water when the top 3–5 cm (1–2 in) are dry; keeps slightly moist in brighter spots.","Comfortable at 40–60% humidity; appreciates 50–70%.","Ideal 18–27°C (64–81°F).","Rich, well-draining potting mix.","Feed every 4–6 weeks during growing season.","Toxic if ingested.","A very compact, frilly form of tree philodendron; great for small spaces and tabletops."
philodendron_little_hope,Philodendron ‘Little Hope’,Philodendron bipinnatifidum ‘Little Hope’,images/plants/philodendron_little_hope.jpg,"Bright to medium indirect light.","Water when top 3–5 cm are dry; avoid constant wetness.","Prefers 40–60% humidity; tolerates typical indoor air.","Ideal 18–27°C (64–81°F).","Well-draining aroid mix.","Feed every 4–6 weeks in spring and summer.","Toxic if ingested.","Dwarf, bushy form of “Hope”; a common landscaping and indoor plant in big-box stores."
philodendron_hope,Philodendron ‘Hope’,Philodendron bipinnatifidum ‘Hope’,images/plants/philodendron_hope.jpg,"Bright indirect light; can handle a little morning sun.","Water when top 3–5 cm are dry; deep soak, then drain well.","Prefers 50–70% humidity; tolerates ~40–50%.","Ideal 18–28°C (64–82°F).","Rich, chunky mix with bark and perlite.","Feed every 4 weeks during active growth.","Toxic if ingested.","Large, deeply lobed self-heading plant; best as a floor specimen with room to spread."
philodendron_atom,Philodendron ‘Atom’,Philodendron bipinnatifidum ‘Atom’,images/plants/philodendron_atom.jpg,"Medium indirect light; tolerates lower light with slower growth.","Water when top 2–3 cm are dry.","Comfortable at 40–60% humidity.","Ideal 18–26°C (64–79°F).","Standard indoor potting mix with good drainage.","Feed every 6–8 weeks.","Toxic if ingested.","Very compact, curly foliage; good for desks and shelves with moderate light."
philodendron_congo_apple,Philodendron ‘Congo Apple’,Philodendron ‘Congo Apple’,images/plants/philodendron_congo_apple.jpg,"Bright to medium indirect light; brighter light gives richer color.","Water when top 3–5 cm are dry; do not allow soil to stay soggy.","Prefers 50–70% humidity.","Ideal 18–27°C (64–81°F).","Well-draining potting mix with bark/perlite.","Feed every 4–6 weeks in the growing season.","Toxic if ingested.","Self-heading hybrid with red and green tones; frequently sold as a decorative indoor shrub."
philodendron_chocolate,Philodendron ‘Chocolate’,Philodendron hybrid ‘Chocolate’,images/plants/philodendron_chocolate.jpg,"Bright indirect light; deeper color with more light.","Water when top 3–5 cm are dry; avoid waterlogging.","Prefers 55–70% humidity.","Ideal 18–27°C (64–81°F).","Chunky aroid mix.","Feed monthly in spring and summer.","Toxic if ingested.","New leaves emerge with rich brown-chocolate tones and harden to dark green."
philodendron_royal_hope,Philodendron ‘Royal Hope’,Philodendron bipinnatifidum hybrid,images/plants/philodendron_royal_hope.jpg,"Medium to bright indirect light.","Water when top 3 cm are dry.","Comfortable at 45–65% humidity.","Ideal 18–27°C.","Aroid soil with bark and perlite.","Feed every 4–6 weeks during growth.","Toxic if ingested.","Compact, lobed foliage with a dense growth habit; ideal for bright corners."
philodendron_lacerum_variegata,Philodendron Lacerum Variegated,Philodendron lacerum variegata,images/plants/philodendron_lacerum_variegata.jpg,"Bright indirect light; variegated foliage requires higher light to maintain patterning.","Water when top 3 cm are dry; avoid soggy conditions.","Prefers 60–75% humidity.","Ideal 18–27°C (64–81°F).","Airy aroid mix.","Feed lightly every 4–6 weeks.","Toxic if ingested.","Large lobed leaves with cream variegation; protect pale sections from strong sun."
philodendron_lime_fiddle,Philodendron ‘Lime Fiddle’,Philodendron hybrid,images/plants/philodendron_lime_fiddle.jpg,"Bright indirect light.","Water when top 2–3 cm are dry.","Prefers 50–70% humidity.","Ideal 18–27°C.","Well-draining mix.","Feed monthly in active growth.","Toxic if ingested.","Chartreuse-toned hybrid with elongated leaves; responds well to bright filtered light."
philodendron_joey,Philodendron ‘Joey’,Philodendron hybrid,images/plants/philodendron_joey.jpg,"Medium to bright indirect light.","Water when top 2–3 cm are dry.","Prefers 50–70% humidity.","Ideal 18–27°C.","Aroid mix with perlite.","Feed every 4–6 weeks.","Toxic if ingested.","Compact, self-heading houseplant often sold in mixed foliage assortments."
philodendron_saloum,Philodendron ‘Saloum’,Philodendron bipinnatifidum ‘Saloum’,images/plants/philodendron_saloum.jpg,"Bright indirect light; some morning sun tolerated.","Water when top 3–5 cm are dry.","Prefers 50–70% humidity.","Ideal 18–28°C (64–82°F).","Rich potting soil with good drainage.","Feed every 4 weeks during growth.","Toxic if ingested.","Large, finely cut foliage forming a dense clump; used frequently as a statement plant indoors."
philodendron_bright_emerald,Philodendron ‘Bright Emerald’,Philodendron hybrid ‘Bright Emerald’,images/plants/philodendron_bright_emerald.jpg,"Bright to medium indirect light.","Water when top 3–5 cm are dry; avoid standing water.","Comfortable at 40–60% humidity.","Ideal 18–27°C.","Aroid mix with bark and perlite.","Feed every 4–6 weeks in spring/summer.","Toxic if ingested.","Self-heading hybrid with glossy, bright green leaves and bushy growth habit."
philodendron_shaftii,Philodendron Shaftii,Philodendron shaftii,images/plants/philodendron_shaftii.jpg,"Bright indirect light.","Water when top 2–3 cm dry; prefers evenly moist conditions.","Prefers 60–80% humidity.","Ideal 18–26°C.","Chunky, airy aroid mix.","Feed lightly every 4–6 weeks.","Toxic if ingested.","Colorful petioles and long leaves; best in warm, humid locations with good support."
philodendron_warszewiczii,Philodendron Warszewiczii,Philodendron warszewiczii,images/plants/philodendron_warszewiczii.jpg,"Bright, indirect light; some filtered morning sun acceptable.","Water when top 3–5 cm are dry; prefers consistent moisture but not soggy soil.","Prefers 60–75% humidity.","Ideal 18–27°C.","Rich, well-draining aroid mix.","Feed every 4–6 weeks.","Toxic if ingested.","Deeply divided leaves that become dramatic with size; best as a floor plant with room to spread."
philodendron_sp_tiger,Philodendron ‘Tiger’,Philodendron sp. ‘Tiger’,images/plants/philodendron_sp_tiger.jpg,"Bright indirect light.","Water when top 2–3 cm are dry.","Prefers 60–75% humidity.","Ideal 18–27°C.","Airy aroid mix with bark/perlite.","Feed every 4–6 weeks.","Toxic if ingested.","Striped petioles and elongated leaves; often grown on a pole for dramatic effect."
philodendron_narrow_form,Philodendron ‘Narrow Form’,Philodendron bipinnatifidum narrow form,images/plants/philodendron_narrow_form.jpg,"Bright to medium indirect light.","Water when top 3–5 cm are dry; slightly drier in winter.","Comfortable at 40–60% humidity.","Ideal 18–27°C.","Well-draining indoor mix.","Feed every 4–6 weeks during growth.","Toxic if ingested.","Narrow, deeply lobed leaves give a lush tropical look without taking up as much lateral space."
philodendron_super_royal,Philodendron ‘Super Royal’,Philodendron hybrid ‘Super Royal’,images/plants/philodendron_super_royal.jpg,"Bright indirect light.","Water when top 3 cm are dry; avoid extreme dryness.","Prefers 50–70% humidity.","Ideal 18–27°C.","Aroid mix with organic matter and perlite.","Feed monthly in growing season.","Toxic if ingested.","Large, upright hybrid with broad leaves; suited for bright corners or offices."
philodendron_red_sun,Philodendron ‘Red Sun’,Philodendron hybrid ‘Red Sun’,images/plants/philodendron_red_sun.jpg,"Bright indirect light; more light produces better red/orange tones.","Water when top 2–3 cm are dry; do not allow roots to stand in water.","Prefers 50–70% humidity.","Ideal 18–27°C.","Well-draining potting mix.","Feed every 4–6 weeks.","Toxic if ingested.","Compact, color-forward cultivar often sold alongside Crotons and other bold foliage plants."
philodendron_mango,Philodendron ‘Mango’,Philodendron ‘Mango’,images/plants/philodendron_mango.jpg,"Medium to bright indirect light.","Water when top 2–3 cm are dry.","Prefers 50–70% humidity.","Ideal 18–27°C.","Aroid mix with bark/perlite.","Feed every 4–6 weeks.","Toxic if ingested.","Leaves flush with mango-colored tones as they emerge, then mature to green."
philodendron_valanioii,Philodendron Valanioii (trade),Philodendron sp. sold as ‘Valanioii’,images/plants/philodendron_valanioii.jpg,"Bright, indirect light; no harsh sun.","Water when top 2–3 cm dry; keep slightly moist in bright, warm conditions.","Prefers 60–80% humidity.","Ideal 18–26°C.","Chunky, airy aroid mix with moss.","Feed lightly every 4–6 weeks.","Toxic if ingested.","Large elongated leaves; often treated similarly to other velvety or collector-type Philodendrons."
philodendron_joepii_variegata,Philodendron Joepii Variegated,Philodendron joepii variegata,images/plants/philodendron_joepii_variegata.jpg,"Bright indirect light; necessary for clear variegation.","Water when top 2–3 cm are dry; avoid extremes of dryness or saturation.","Prefers 65–80% humidity.","Ideal 18–26°C.","Very airy aroid mix.","Feed lightly every 4–6 weeks.","Toxic if ingested.","Variegated form of a rare species; best for advanced growers with high humidity and stable conditions."
philodendron_lynette,Philodendron ‘Lynette’,Philodendron hybrid ‘Lynette’,images/plants/philodendron_lynette.jpg,"Medium to bright indirect light.","Water when top 2–3 cm dry.","Prefers 50–70% humidity.","Ideal 18–27°C.","Well-draining potting mix.","Feed every 4–6 weeks in growing season.","Toxic if ingested.","Compact, upright hybrid with rippled leaves; good for tabletops or credenzas."
philodendron_tortum_variegata,Philodendron Tortum Variegated,Philodendron tortum variegata,images/plants/philodendron_tortum_variegata.jpg,"Bright indirect light.","Water when top 3 cm are dry; avoid soggy conditions.","Prefers 60–75% humidity; tolerates around 50%.","Ideal 18–27°C.","Chunky aroid mix with extra bark.","Feed lightly every 4–6 weeks.","Toxic if ingested.","Variegated version of the deeply cut, skeletal-leaved species; best in bright, moderately humid rooms."
philodendron_limelight,Philodendron ‘Limelight’,Philodendron hybrid ‘Limelight’,images/plants/philodendron_limelight.jpg,"Bright to medium indirect light; neon color best in brighter spots.","Water when top 2–3 cm are dry; slightly less in winter.","Prefers 50–70% humidity.","Ideal 18–27°C.","Well-draining indoor mix with some bark.","Feed every 4–6 weeks during growth.","Toxic if ingested.","Vivid chartreuse foliage hybrid; great for adding a pop of color in mixed foliage displays."
philodendron_summer_glory,Philodendron ‘Summer Glory’,Philodendron ‘Summer Glory’,images/plants/philodendron_summer_glory.jpg,"Bright indirect light; avoids harsh direct sun.","Water when the top 2–3 cm (1 in) are dry; dislikes constantly wet soil.","Prefers 55–75% humidity.","Ideal 18–27°C (64–81°F).","Airy aroid mix with bark and perlite.","Feed lightly every 4–6 weeks during the growing season.","Toxic if ingested.","Hybrid with bronze-toned emerging leaves and green mature foliage; a good bridge between “collector” and “easy-care” philodendrons."
philodendron_strawberry_shake,Philodendron ‘Strawberry Shake’,Philodendron erubescens ‘Strawberry Shake’,images/plants/philodendron_strawberry_shake.jpg,"Bright indirect light; essential to maintain pink/red/cream variegation.","Water when top 2–3 cm are dry; avoid both prolonged dryness and waterlogging.","Prefers 60–80% humidity; may struggle below ~50%.","Ideal 18–26°C (64–79°F).","Very airy aroid mix rich in bark and perlite.","Feed lightly every 4–6 weeks; do not overfertilize.","Toxic if ingested.","Highly variegated climber with strawberry-toned sections; prune low-variegation or fully green stems to preserve color."
philodendron_caramel_marble,Philodendron ‘Caramel Marble’,Philodendron sp. ‘Caramel Marble’,images/plants/philodendron_caramel_marble.jpg,"Bright indirect light; supports multicolored variegation.","Water when top 2–3 cm are dry; keep evenly moist but not soggy.","Prefers 60–80% humidity.","Ideal 18–26°C (64–79°F).","Chunky aroid mix with bark/perlite/moss.","Feed lightly every 4–6 weeks in warm months.","Toxic if ingested.","Collector plant with cream, caramel, and green sectors; best in stable, bright, humid conditions."
philodendron_goeldii,Philodendron ‘Goeldii’ (often sold as Philodendron goeldii),Thaumatophyllum spruceanum (marketed as Philodendron goeldii),images/plants/philodendron_goeldii.jpg,"Bright to medium indirect light; tolerates some gentle morning sun.","Water when top 3–5 cm (1–2 in) are dry; avoid standing water.","Comfortable at 40–60% humidity; appreciates 50–70% for lush growth.","Ideal 18–27°C (64–81°F).","Rich, well-draining potting mix.","Feed every 4–6 weeks during growing season.","Toxic if ingested.","Whorled leaf clusters at the top of stems give a “starburst” look; great for modern interiors needing an architectural plant."
philodendron_black_gold,Philodendron ‘Black Gold’,Philodendron melanochrysum (Black Gold form),images/plants/philodendron_black_gold.jpg,"Bright indirect light only; protect velvet leaves from direct sun.","Water when top 2–3 cm are dry; keep soil evenly moist but never waterlogged.","Prefers 65–80% humidity.","Ideal 18–26°C (64–79°F).","Very airy aroid mix with bark, perlite, and some moss.","Feed lightly every 4 weeks during active growth.","Toxic if ingested.","Dark, velvety leaves with golden midrib; best in high-humidity setups with a tall moss pole."
philodendron_splendid_dark,Philodendron ‘Splendid Dark Form’,Philodendron verrucosum × melanochrysum,images/plants/philodendron_splendid_dark.jpg,"Bright, diffused indirect light; avoid direct sun.","Water when top 1–2 cm are just dry; prefers evenly moist conditions.","Prefers 65–80% humidity; suffers in air below ~50%.","Ideal 18–25°C (64–77°F).","Moisture-retentive but airy mix (bark, moss, perlite).","Feed at low strength every 4–6 weeks.","Toxic if ingested.","A darker, more saturated form of ‘Splendid’; ideal for plant cabinets and humid rooms with good airflow."
philodendron_choco_empress,Philodendron ‘Choco Empress’,Philodendron sp. ‘Choco Empress’,images/plants/philodendron_choco_empress.jpg,"Bright indirect light; no harsh sun.","Water when the top 2–3 cm are dry; slightly moist but not soggy.","Prefers 60–80% humidity.","Ideal 18–26°C (64–79°F).","Chunky aroid mix with moss/bark.","Feed lightly every 4–6 weeks.","Toxic if ingested.","Velvety, dark foliage with chocolate undertones; grows best on a pole with high humidity."
philodendron_dark_lord_variegata,Philodendron ‘Dark Lord’ Variegated,Philodendron hybrid ‘Dark Lord Variegata’,images/plants/philodendron_dark_lord_variegata.jpg,"Bright indirect light is required to keep variegation stable.","Water when top 2–3 cm are dry; avoid continually wet soil.","Prefers 60–80% humidity.","Ideal 18–26°C (64–79°F).","Very free-draining aroid mix.","Feed every 4–6 weeks at low strength.","Toxic if ingested.","Variegated version of ‘Dark Lord’; support the plant and prune low-variegation shoots."
philodendron_micans_aurea,Philodendron ‘Micans Aurea’,Philodendron hederaceum ‘Micans Aurea’,images/plants/philodendron_micans_aurea.jpg,"Bright, indirect light for best yellow variegation on velvet leaves.","Water when top 2–3 cm are dry; prevent extended drought.","Prefers 60–75% humidity.","Ideal 18–26°C (64–79°F).","Loose, airy aroid mix.","Feed lightly every 4–6 weeks.","Toxic if ingested.","Velvety, yellow-splashed foliage; stunning on hanging planters or moss poles in bright rooms."
philodendron_red_emerald_variegata,Philodendron ‘Red Emerald Variegated’,Philodendron erubescens ‘Red Emerald Variegata’,images/plants/philodendron_red_emerald_variegata.jpg,"Bright indirect light; variegation fades in low light.","Water when top 2–3 cm are dry; moist but not waterlogged soil.","Prefers 60–75% humidity.","Ideal 18–27°C (64–81°F).","Chunky aroid mix.","Feed every 4–6 weeks in growing season.","Toxic if ingested.","Classic red-stemmed climber with cream variegation; ideal for bright indoor walls with vertical supports."
philodendron_cream_splash_micans,Philodendron ‘Velvet Cream Splash’,Philodendron hederaceum hybrid,images/plants/philodendron_velvet_cream_splash.jpg,"Bright, indirect light.","Water when top 2–3 cm are dry; avoid soggy conditions.","Prefers 60–75% humidity.","Ideal 18–26°C (64–79°F).","Aroid mix with bark/perlite.","Feed at low strength every 4–6 weeks.","Toxic if ingested.","Velvety trailing variety with cream and light green variegation; spectacular in hanging baskets or on small poles."
philodendron_black_opal,Philodendron ‘Black Opal’,Philodendron sp. ‘Black Opal’,images/plants/philodendron_black_opal.jpg,"Bright indirect light; deeper color in higher light (without direct sun).","Water when top 3–5 cm dry; slightly more in warm, bright conditions.","Prefers 55–70% humidity.","Ideal 18–27°C (64–81°F).","Chunky aroid mix.","Feed every 4–6 weeks in growth.","Toxic if ingested.","Large, dark leaves with a subtle sheen; good candidate for a dramatic floor plant."
philodendron_sun_red,Philodendron ‘Sun Red’,Philodendron erubescens ‘Sun Red’,images/plants/philodendron_sun_red.jpg,"Bright to medium indirect light; some morning sun can enrich red tones.","Water when top 3–5 cm are dry; do not allow root rot.","Comfortable at 40–60% humidity; enjoys 50–70%.","Ideal 18–27°C (64–81°F).","Rich, well-draining indoor mix.","Feed every 4–6 weeks in spring/summer.","Toxic if ingested.","New leaves emerge deep red and fade to green; common in garden centers as a colorful upright plant."
philodendron_red_congo_variegata,Philodendron ‘Red Congo Variegated’,Philodendron ‘Red Congo Variegata’,images/plants/philodendron_red_congo_variegata.jpg,"Bright indirect light.","Water when top 3 cm are dry; do not keep permanently wet.","Prefers 55–75% humidity.","Ideal 18–27°C (64–81°F).","Well-draining aroid mix.","Feed lightly every 4–6 weeks.","Toxic if ingested.","Variegated self-heading hybrid with red stems; allow space for a wide, rounded silhouette."
philodendron_philodendron_lynwood_gold,Philodendron ‘Lynwood Gold’,Philodendron hybrid ‘Lynwood Gold’,images/plants/philodendron_lynwood_gold.jpg,"Bright, indirect light; enhances golden tones.","Water when top 2–3 cm are dry; reduce watering in low light.","Prefers 50–70% humidity.","Ideal 18–27°C.","Aroid mix with bark and perlite.","Feed every 4–6 weeks in active growth.","Toxic if ingested.","Golden-toned upright hybrid; excellent to mix with darker foliage for contrast."
philodendron_moonlight_variegata,Philodendron ‘Moonlight Variegata’,Philodendron ‘Moonlight Variegata’,images/plants/philodendron_moonlight_variegata.jpg,"Bright indirect light; necessary to express variegation.","Water when top 2–3 cm dry; avoid soaked, heavy soil.","Prefers 55–75% humidity.","Ideal 18–27°C.","Chunky, well-aerated aroid mix.","Feed every 4–6 weeks lightly.","Toxic if ingested.","Variegated version of ‘Moonlight’; keep in a bright position away from direct sun to protect paler leaf tissue."
